Phồn_thể,Giản_thể,Pinyin,Phiên_âm_Hán_Việt
砀,砀,dàng,đãng
码,码,mǎ,mã
砂,砂,shā,sa
砃,砃,dān,đan
砄,砄,jué,quyết
砅,砅,lì,lệ
砆,砆,fū,phu
矰,矰,zēng,tăng
矱,矱,yuē,hoạch
石,石,shí,thạch
矴,矴,dìng,đính
矷,矷,zǐ,chỉ
矸,矸,gān,can
矺,矺,zhé,trách
矽,矽,xì,tịch
知,知,zhī,tri
矦,矦,hóu,hầu
矧,矧,shěn,thẩn
矩,矩,jǔ,củ
矫,矫,jiǎo,kiểu
矬,矬,cuó,toà
短,短,duǎn,đoản
矯,矫,jiǎo,kiểu
矕,矕,mǎn,vãn
矖,矖,xǐ,tỉ
矙,矙,kàn,khám
矚,瞩,zhǔ,chúc
矛,矛,máo,mâu
矜,矜,jīn,căng
矞,矞,yù,duật
矠,矠,zé,tích
砼,砼,tóng,đồng
砾,砾,lì,lịch
砿,砿,kuàng,kháng
础,础,chǔ,sở
硅,硅,guī,khuê
硇,硇,náo,nao
硊,硊,huì / wěi,nghĩ
硌,硌,gè,ngắc
砰,砰,pēng,phanh
砳,砳,lè,lặc
破,破,pò,phá
砵,砵,bō,bát
砷,砷,shēn,thân
砸,砸,zá,tạp
砹,砹,ài,ngải
砺,砺,lì,lệ
砜,砜,fēng,phong
砠,砠,jū,thư
砢,砢,kē,loã
砣,砣,tuó,đà
砥,砥,dǐ,chỉ
砦,砦,zhài,trại
砩,砩,fú,phế
砮,砮,nǔ,nỗ
砈,砈,ě,ngã
砉,砉,huā / huò,hoạch
砌,砌,qì,thế
砍,砍,kǎn,khảm
砑,砑,yà,nhạ
砒,砒,pī,tì
砖,砖,zhuān,chuyên
砗,砗,chē,xa
碍,碍,ài,ngại
碎,碎,suì,toái
碏,碏,què,thước
碑,碑,bēi,bi
碓,碓,duì,đối
碔,碔,wǔ,vũ
碕,埼,qí,kỳ
碗,碗,wǎn,oản
硵,硵,lǔ,lỗ
硼,硼,péng,bằng
硾,硾,zhuì,truỵ
碃,碃,qìng,thanh
碆,碆,bō,ba
碇,碇,dìng,đĩnh
碉,碉,diāo,điêu
碌,碌,lù,lục
硤,硖,xiá,giáp
硧,硧,yǒng,dũng
硨,砗,chē,xa
硪,硪,wò,ngạ
硫,硫,liú,lưu
硬,硬,yìng,ngạnh
硭,硭,máng,mang
确,确,què,xác
硍,硍,yín / xiàn,khẩn
硎,硎,xíng,hình
硐,硐,dòng,động
硒,硒,xī,tây
硕,硕,shuò,thạch
硚,硚,qiáo,kiều
硜,硁,kēng,khanh
硝,硝,xiāo,tiêu
磉,磉,sǎng,tảng
磌,磌,tián,điền
磐,磐,pán,bàn
磓,磓,duī,đôi
磕,磕,kē,khái
磗,磗,zhuān,chuyên
磙,磙,gǔn,cổn
磚,砖,zhuān,chuyên
碶,碶,qì,khế
碸,砜,fēng,phong
確,确,què,xác
碻,碻,què,xác
碼,码,mǎ,mã
碽,䂵,gōng,cung
磁,磁,cí,từ
磈,磈,wěi,uỷ
碪,碪,zhēn,châm
碫,碫,duàn,đoán
碬,碬,xiá,hà
碯,碯,nǎo,não
碱,碱,jiǎn,thiêm
碲,碲,dì,đế
碳,碳,tàn,thán
碴,碴,chá,tra
碘,碘,diǎn,điển
碚,碚,bèi,bội
碜,碜,chěn,tẩm
碞,碞,yán,nham
碟,碟,dié,điệp
碡,碡,zhóu / dú,độc
碥,碥,biǎn,biển
碩,硕,shuò,thạc
礓,礓,jiāng,cương
礙,碍,ài,ngại
礚,礚,kē,khái
礜,礜,yù,dự
礝,礝,ruǎn,nhuyễn
礞,礞,méng,mông
礟,礟,pào,pháo
礡,礡,bó,bạc
磾,䃅,dī,sạn
礀,礀,jiàn,gián
礁,礁,jiāo,tiều
礃,礃,zhǎng,tưởng
礄,硚,qiáo,kiều
礅,礅,dūn,đôn
礆,硷,jiǎn,kiềm
礐,𬒈,què,xác
磪,磪,cuī,thôi
磬,磬,qìng,khánh
磯,矶,jī,ki
磲,磲,qú,cừ
磴,磴,dèng,đặng
磵,磵,jiàn,giản
磹,磹,tán,điệm
磺,磺,huáng,hoàng
磛,磛,chán,sàm
磟,磟,liù,lựu
磠,硵,lǔ,lỗ
磡,磡,kàn,khám
磣,碜,chěn,sẩm
磤,磤,yǐn,ân
磥,磥,lěi,lỗi
磧,碛,qì,thích
祏,祏,shí,thạch
祐,祐,yòu,hữu
祓,祓,fú,phất
祔,祔,fù,phụ
祕,秘,mì,bí
祖,祖,zǔ,tổ
祗,祗,zhī,chi
祘,祘,suàn,toán
祄,祄,xiè,giới
祅,祅,yāo,yêu
祆,祆,xiān,hiên
祈,祈,qí,kì
祉,祉,zhǐ,chỉ
祊,祊,bēng,banh
祍,祍,rèn,nhẫm
祎,祎,yī,y
礻,礻,shì,thị
礼,礼,lǐ,lễ
礽,礽,réng,nhưng
社,社,shè,xã
祀,祀,sì,tự
祁,祁,qí,kì
祂,祂,tā,tha
祃,祃,mà,mạ
礤,礤,cǎ,sát
礧,礧,léi,lôi
礪,砺,lì,lệ
礫,砾,lì,lịch
礮,礮,pào,pháo
礱,砻,lóng,lung
礴,礴,bó,bạc
礶,礶,guàn,quán
禎,祯,zhēn,trinh
福,福,fú,phúc
禑,禑,wú,ngô
禓,禓,yáng,dương
禔,禔,zhī,đề
禕,祎,yī,y
禖,禖,méi,môi
禘,禘,dì,đế
祼,祼,guàn,quán
祿,禄,lù,lộc
禀,禀,bǐng,bẩm
禂,禂,dǎo,đảo
禄,禄,lù,lộc
禅,禅,chán,thiền
禇,禇,zhě,trữ
禊,禊,xì,hễ
祦,祦,wú,ngô
祩,祩,zhù,chú
祫,祫,xiá,hợp
祲,祲,jìn,tẩm
祷,祷,dǎo,thổ
祸,祸,huò,hoạ
祺,祺,qí,kì
祻,祻,gù,cố
祙,祙,mèi,mị
祚,祚,zuò,tộ
祛,祛,qū,khư
祜,祜,hù,hỗ
神,神,shén,thần
祠,祠,cí,từ
祢,祢,mí,nỉ
祥,祥,xiáng,tường
私,私,sī,tư
秃,秃,tū,thóc
秄,秄,zǐ,chỉ
秆,秆,gǎn,cán
秈,籼,xiān,tiên
秊,秊,nián,niên
秋,秋,qiū,thu
秌,秌,qiū,thu
禸,禸,róu,nhựu
禹,禹,yǔ,vũ
禺,禺,yú,ngu
离,离,lí,le
禼,禼,xiè,tiết
禽,禽,qín,cầm
禾,禾,hé,hòa
秀,秀,xiù,tú
禧,禧,xǐ,hi
禨,禨,jī,ky
禩,禩,sì,tự
禮,礼,lǐ,lễ
禰,祢,mí,nỉ
禱,祷,dǎo,đảo
禳,禳,ráng,nhương
禴,禴,yuè,dược
禚,禚,zhuó,chước
禛,禛,zhēn,chân
禜,禜,yǒng,vinh
禠,禠,sī,tư
禡,祃,mà,mã
禢,禢,tà,tháp
禤,禤,xuān,huyên
禥,禥,qí,kì
稆,稆,lǚ,lữ
稇,稇,kǔn,khổn
稈,秆,gǎn,cán
稉,稉,jīng,canh
程,程,chéng,trình
稌,稌,tú,đồ
税,税,shuì,thuế
稏,䅉,yà,á
秫,秫,shú,thuật
秬,秬,jù,cự
秭,秭,zǐ,tỉ
称,称,chēng,xưng
秷,秷,zhì,gié
稀,稀,xī,hi
稂,稂,láng,lang
稃,稃,fū,phù
秝,秝,lì,lịch
秠,秠,pī,phi
秣,秣,mò,mạt
秤,秤,chèng,xứng
秥,秥,nián,chiêm
秦,秦,qín,tần
秧,秧,yāng,ương
秩,秩,zhì,trật
秏,秏,hào,hao
科,科,kē,khoa
秒,秒,miǎo,miểu
秔,秔,jīng,canh
秕,秕,bǐ,bỉ
秖,秖,zhī,kì
秘,秘,mì,bí
秜,秜,ní,ni
穊,穊,jì,cấy
穋,穋,lù,lục
穌,稣,sū,tô
穎,颖,yǐng,dĩnh
穏,穏,wěn,ùn
穐,穐,qiū,thu
穗,穗,suì,tuệ
穜,穜,tóng,đồng
稾,稾,gǎo,cảo
稿,稿,gǎo,cảo
穀,谷,gǔ,cốc
穄,穄,jì,tế
穅,穅,kāng,khang
穇,䅟,cǎn,sam
穈,穈,méi,môn
穉,穉,zhì,trĩ
稨,稨,biǎn,biển
稬,稬,nuò,noạ
稳,稳,wěn,ùn
稷,稷,jì,tắc
稹,稹,zhěn,chẩn
稺,稺,zhì,trĩ
稻,稻,dào,đạo
稼,稼,jià,giá
稑,稑,lù,lục
稖,稖,bàng,bàng
稗,稗,bài,bại
稙,稙,zhī,trị
稚,稚,zhì,trĩ
稛,稛,kǔn,khổn
稞,稞,kē,khoa
稠,稠,chóu,trù
窈,窈,yǎo,yểu
窊,窊,wā,oa
窋,窋,zhú,truật
窌,窌,jiào,giáo
窍,窍,qiào,khíu
窎,窎,diào,điếu
窑,窑,yáo,diêu
窓,窓,chuāng,song
穽,穽,jǐng,tỉnh
穿,穿,chuān,xuyên
窀,窀,zhūn,truân
突,突,tū,đột
窃,窃,qiè,tiết
窄,窄,zhǎi,trách
窅,窅,yǎo,yểu
窆,窆,biǎn,biếm
穫,获,huò,hoạch
穭,穞,lǚ,lúa
穮,穮,biāo,tiêu
穴,穴,xué,huyệt
穵,穵,wā,ấp
究,究,jiū,cứu
穷,穷,qióng,cung
穸,穸,xī,tịch
穟,穟,suì,toại
穠,秾,nóng,nùng
穡,穑,sè,sắc
穢,秽,huì,uế
穣,穣,ráng,dương
穤,穤,nuò,nhu
穧,穧,jì,tế
穨,穨,tuí,đồi
窿,窿,lóng,lung
竁,竁,cuì,xuế
竃,竃,zào,hung
竄,窜,cuàn,thoán
竆,竆,qióng,cung
竇,窦,dòu,đậu
竈,灶,zào,táo
竉,竉,lǒng,lung
窳,窳,yǔ,dũ
窴,窴,tián,điền
窵,窎,diào,điếu
窸,窸,xī,tất
窺,窥,kuī,khuy
窻,窻,chuāng,song
窽,窽,kuǎn,khoản
窾,窾,kuǎn,khoản
窨,窨,yìn,ấm
窩,窝,wō,oa
窪,洼,wā,oa
窬,窬,yú,du
窭,窭,jù,cự
窮,穷,qióng,cùng
窯,窑,yáo,diêu
窰,窰,yáo,diêu
窖,窖,jiào,diếu
窗,窗,chuāng,song
窘,窘,jiǒng,quẫn
窝,窝,wō,oa
窟,窟,kū,quật
窠,窠,kē,khòa
窣,窣,sū,tốt
窦,窦,dòu,đậu
竻,竻,lè,lặc
竽,竽,yú,vu
竾,竾,chí,trì
笀,笀,máng,măng
笃,笃,dǔ,đốc
笄,笄,jī,kê
笆,笆,bā,ba
笇,笇,suàn,toán
竦,竦,sǒng,tủng
竪,竖,shù,thụ
竫,竫,jìng,tĩnh
竭,竭,jié,kiệt
端,端,duān,đoan
競,竞,jìng,cạnh
竸,竸,jìng,cạnh
竹,竹,zhú,trúc
站,站,zhàn,trạm
竚,竚,zhù,trữ
竜,竜,lóng,long
竝,竝,bìng,tịnh
竟,竟,jìng,cánh
章,章,zhāng,chương
竢,竢,sì,sĩ
童,童,tóng,đồng
竊,窃,qiè,thiết
立,立,lì,lập
竍,竍,shí,thập
竏,竏,qiān,thiên
竑,竑,hóng,hoành
竒,竒,qí,kì
竓,竓,háo,hào
竖,竖,shù,thụ
笹,笹,tì,thế
笻,笻,qióng,cung
笾,笾,biān,biên
筀,筀,guì,kế
筁,筁,qū,khúc
筃,筃,yīn,nhân
筅,筅,xiǎn,tiển
筆,笔,bǐ,bút
笭,笭,líng,linh
笮,笮,zé,trách
笯,笯,nú,nò
笰,笰,fú,phất
笲,笲,fán,phiền
笳,笳,jiā,già
笵,笵,fàn,phạm
笸,笸,pǒ,phả
笛,笛,dí,địch
笞,笞,chī,si
笣,笣,bāo,vầu
笤,笤,tiáo,giậu
笥,笥,sì,tứ
笧,笧,cè,sách
笨,笨,bèn,bổn
笫,笫,zǐ,chỉ
笉,笉,qǐn,chẩn
笊,笊,zhào,tráo
笋,笋,sǔn,duẩn
笏,笏,hù,hốt
笐,笐,háng,hàng
笑,笑,xiào,tiếu
笓,笓,bì,tỳ
笔,笔,bǐ,tất
筷,筷,kuài,khoái
筸,筸,gān,cao
筻,筻,gàng,gánh
签,签,qiān,tiêm
箂,箂,lái,lai
箄,箄,bǐ,bài
箅,箅,bì,bế
箆,箆,bì,bề
筢,筢,pá,ba
筦,筦,guǎn,quản
筧,笕,jiǎn,kiển
筯,筯,zhù,trợ
筰,筰,zuó,tạc
筱,筱,xiǎo,tiểu
筳,筳,tíng,đình
筵,筵,yán,diên
筓,筓,jī,kê
答,答,dá,đáp
策,策,cè,sách
筘,筘,kòu,khấu
筚,筚,bì,tất
筜,筜,dāng,đang
筞,筞,cè,sách
筠,筠,yún,quân
筇,筇,qióng,cung
筈,筈,kuò,quát
等,等,děng,đẳng
筊,筊,xiáo,giảo
筌,筌,quán,thuyên
筐,筐,kuāng,khuông
筑,筑,zhù,trúc
筒,筒,tǒng,đồng
箩,箩,luó,la
箪,箪,dān,đan
箫,箫,xiāo,tiêu
箬,箬,ruò,nhược
箮,箮,xuān,huyên
箯,箯,biān,tiên
箲,箲,xiǎn,tiển
箳,箳,píng,bình
箛,箛,gū,cô
箜,箜,kōng,không
箝,箝,qián,kiềm
箠,箠,chuí,chủy
管,管,guǎn,quản
箤,箤,zú,nhốt
箦,箦,zé,trách
箨,箨,tuò,thác
箒,箒,zhǒu,trửu
箓,箓,lù,lục
箔,箔,bó,bạc
箖,箖,lín,lâm
算,算,suàn,toán
箘,箘,jùn,khuân
箙,箙,fú,phục
箚,箚,zhá,tráp
箇,个,gè,cá
箊,箊,yū,ư
箋,笺,jiān,tiên
箍,箍,gū,cô
箎,箎,chí,trì
箏,筝,zhēng,tranh
箐,箐,qìng,thiến
箑,箑,shà,tiệp
篮,篮,lán,lam
篰,篰,bù,bộ
篲,篲,huì,tuệ
篳,筚,bì,tất
篴,篴,dí,địch
篶,篶,yān,yên
篸,𥮾,cǎn,thảm
篹,篹,zhuàn,toán
篛,篛,ruò,nhược
篠,筿,xiǎo,tiểu
篢,𬕂,lǒng,cung
篤,笃,dǔ,đốc
篦,篦,bì,bề
篧,篧,zhuó,trạc
篨,篨,chú,trừ
篪,篪,chí,trì
篌,篌,hóu,hầu
篏,篏,qiàn,khám
篑,篑,kuì,quỹ
篔,筼,yún,vân
篖,篖,táng,đường
篗,篗,yuè,hoạch
篘,篘,chōu,sô
篚,篚,fěi,phỉ
箵,箵,xīng,tỉnh
箾,箾,shuò,sóc
篁,篁,huáng,hoàng
篃,篃,mèi,mị
範,范,fàn,phạm
篆,篆,zhuàn,triện
篇,篇,piān,thiên
篋,箧,qiè,khiếp
簡,简,jiǎn,giản
簣,篑,kuì,quỹ
簥,簥,jiāo,kiểu
簦,簦,dēng,đăng
簧,簧,huáng,hoàng
簨,簨,sǔn,tuẩn
簩,簩,láo,lau
簪,簪,zān,trâm
簖,簖,duàn,đoạn
簗,簗,zhù,lương
簘,簘,xiāo,tiêu
簜,簜,dàng,thang
簝,簝,liáo,liêu
簞,箪,dān,đan
簟,簟,diàn,điệm
簠,簠,fǔ,phủ
簉,簉,zào,sứu
簋,簋,guǐ,quỹ
簌,簌,sù,tốc
簏,簏,lù,lộc
簑,蓑,suō,thoa
簒,簒,cuàn,soán
簓,簓,diāo,điêu
簕,簕,lè,lặc
篺,篺,pí,bài
篼,篼,dōu,đâu
篾,篾,miè,miệt
簀,箦,zé,trách
簁,簁,shāi,si
簃,簃,yí,di
簆,簆,kòu,khấu
簈,簈,píng,bình
籙,箓,lù,lục
籛,篯,jiǎn,tiên
籜,箨,tuò,thác
籝,籝,yíng,doanh
籟,籁,lài,lại
籢,籢,lián,liêm
籣,籣,lán,tràn
籤,签,qiān,thiêm
籌,筹,chóu,trù
籏,籏,qí,kì
籐,籐,téng,đằng
籑,籑,zhuàn,soạn
籒,籒,zhòu,trứu
籓,籓,fān,phiên
籔,䉤,sǒu,tẩu
籘,籘,téng,đằng
簻,簻,zhuā,qua
簽,签,qiān,thiêm
籀,籀,zhòu,trứu
籁,籁,lài,lại
籄,籄,kuì,quỹ
籅,𥫣,yú,dư
籆,籆,yuè,hoạch
籊,籊,tì,địch
簫,箫,xiāo,tiêu
簬,簬,lù,rọ
簮,簮,zān,trâm
簰,簰,pái,bài
簴,簴,jù,cự
簷,簷,yán,diêm
簸,簸,bǒ,bá
簹,筜,dāng,đương
粋,粋,cuì,tuý
粍,粍,zhé,hào
粎,粎,mǐ,mễ
粑,粑,bā,ba
粒,粒,lì,lạp
粔,粔,jù,cự
粕,粕,pò,phách
粗,粗,cū,thô
籽,籽,zǐ,tử
籾,籾,ní,ni
粀,粀,zhàng,thập
粁,粁,qiān,thiên
粄,粄,bǎn,bản
粆,粆,shā,sa
粇,粇,kāng,canh
粉,粉,fěn,phấn
籯,籯,yíng,doanh
籰,籰,yuè,dược
米,米,mǐ,mễ
籴,籴,dí,địch
籸,籸,shēn,sân
籹,籹,nǚ,nhữ
籺,籺,hé,hạt
籼,籼,xiān,tiên
籥,籥,yuè,thược
籧,籧,qú,cừ
籨,籨,lián,liêm
籩,笾,biān,biên
籪,簖,duàn,đoán
籬,篱,lí,li
籭,籭,sī,si
籮,箩,luó,la
糇,糇,hóu,hầu
糈,糈,xǔ,tư
糉,粽,zòng,tống
糊,糊,hú,hồ
糌,糌,zān,ta
糍,糍,cí,từ
糏,糏,xiè,tiết
糐,糐,fū,đoàn
粻,粻,zhāng,trương
粼,粼,lín,lân
粽,粽,zòng,tống
精,精,jīng,tinh
粿,粿,guǒ,quả
糁,糁,sǎn,thẩm
糅,糅,róu,nhữu
糆,糆,miàn,miến
粩,粩,lāo,lỗ
粬,粬,qū,khúc
粮,粮,liáng,lương
粰,粰,fú,phu
粱,粱,liáng,lương
粲,粲,càn,sán
粵,粤,yuè,việt
粺,粺,bài,bại
粘,粘,zhān,niêm
粛,粛,sù,túc
粝,粝,lì,lệ
粞,粞,xī,tê
粟,粟,sù,túc
粡,粡,tóng,đòng
粦,粦,lín,lân
粧,粧,zhuāng,trang
糺,糺,jiū,củ
系,系,xì,hệ
紀,纪,jì,kỉ
紂,纣,zhòu,trụ
紃,𬘓,xún,xuyên
約,约,yuē,ước
紅,红,hóng,hồng
紇,纥,hé,hột
糰,团,tuán,đoàn
糱,糱,niè,nghiệt
糲,粝,lì,lệ
糴,籴,dí,địch
糵,糵,niè,nghiệt
糶,粜,tiào,thiếu
糸,糸,mì,mịch
糹,纟,sī,mịch
糠,糠,kāng,khang
糡,糡,jiàng,cưỡng
糢,糢,mó,mô
糤,糤,sǎn,tản
糧,粮,liáng,lương
糨,糨,jiàng,cưỡng
糬,糬,shǔ,thự
糯,糯,nuò,nhu
糒,糒,bèi,bí
糔,糔,xiǔ,tưu
糕,糕,gāo,cao
糖,糖,táng,đường
糗,糗,qiǔ,khứu
糙,糙,cāo,tháo
糜,糜,mí,mi
糟,糟,zāo,tao
紼,绋,fú,phất
紽,紽,tuó,đà
紿,绐,dài,đãi
絁,絁,shī,thi
終,终,zhōng,chung
絃,弦,xián,huyền
組,组,zǔ,tổ
絅,䌹,jiōng,quýnh
素,素,sù,tố
紥,紥,zā,trát
紮,扎,zā,trát
紱,绂,fú,phất
紲,绁,xiè,tiết
紵,纻,zhù,trữ
紹,绍,shào,thiệu
紺,绀,gàn,cám
紘,纮,hóng,hoành
紙,纸,zhǐ,chỉ
級,级,jí,cấp
紛,纷,fēn,phân
紜,纭,yún,vân
紝,纴,rèn,nhâm
紞,𬘘,dǎn,đãn
紟,紟,jīn,câm
紈,纨,wán,hoàn
紊,紊,wěn,vặn
紋,纹,wén,văn
納,纳,nà,nạp
紑,紑,fóu,phù
紓,纾,shū,thư
紖,纼,zhèn,chẩn
紗,纱,shā,sa
絹,绢,juàn,quyên
絻,絻,miǎn,miện
絿,絿,qiú,cầu
綀,綀,shū,sơ
綁,绑,bǎng,bảng
綂,綂,tǒng,thống
綃,绡,xiāo,tiêu
綅,綅,qīn,xâm
絬,絬,xiè,thượt
絮,絮,xù,nhứ
絰,绖,dié,điệt
統,统,tǒng,thống
絳,绛,jiàng,giáng
絶,绝,jué,tuyệt
絷,絷,zhí,chấp
絸,絸,jiǎn,kén
絝,绔,kù,khố
絢,绚,xuàn,huyến
絣,絣,bēng,băng
給,给,gěi,cấp
絨,绒,róng,nhung
絩,絩,tiào,thêu
絪,𬘡,yīn,nhân
絫,絫,lěi,lũy
経,経,jīng,kinh
絍,絍,rèn,nhâm
絎,绗,háng,hàng
結,结,jié,kết
絓,絓,guà,quái
絕,绝,jué,tuyệt
絚,絚,gēng,căng
絛,绦,tāo,thao
網,网,wǎng,võng
綳,绷,bēng,banh
綷,綷,cuì,túy
綸,纶,lún,luân
綹,绺,liǔ,lữu
綻,绽,zhàn,trán
綽,绰,chuò,xước
綿,绵,mián,miên
綦,綦,qí,kì
綪,𬘬,qiàn,thiến
綫,线,xiàn,tuyến
綬,绶,shòu,thụ
維,维,wéi,duy
綯,绹,táo,đào
綰,绾,wǎn,oản
綱,纲,gāng,cương
綖,𫄧,yán,diên
綗,綗,jiǒng,quýnh
綘,綘,féng,phùng
継,継,jì,kế
続,続,xù,tục
綝,𬘭,chēn,sâm
綠,绿,lǜ,lục
綥,綥,qí,kì
綆,绠,gěng,cảnh
綈,绨,tí,đề
綉,绣,tòu,tú
綌,绤,xì,khích
綍,綍,fú,phất
綎,𬘩,tīng,đinh
綑,捆,kǔn,khổn
經,经,jīng,kinh
緦,缌,sī,ti
編,编,biān,biên
緩,缓,huǎn,hoãn
緪,緪,gēng,căng
緫,緫,cōng,tổng
緯,纬,wěi,vĩ
緰,緰,tóu,đầu
緱,缑,gōu,câu
緗,缃,xiāng,tương
緙,缂,kè,khách
線,线,xiàn,tuyến
緜,緜,mián,miên
緝,缉,jī,tập
緞,缎,duàn,đoạn
緤,緤,xiè,tiết
緥,緥,bǎo,bảo
緍,緍,mín,mân
緎,緎,yù,vực
総,総,zǒng,tổng
緐,緐,fán,phồn
緑,绿,lǜ,lục
緒,绪,xù,tự
緔,绱,shàng,thượng
緖,緖,xù,tự
緁,緁,qiè,tiệp
緄,绲,gǔn,cổn
緅,緅,zōu,tưu
緆,緆,xī,rợ
緇,缁,zī,truy
緉,緉,liǎng,lưỡng
緊,紧,jǐn,khẩn
緋,绯,fēi,phi
縯,𬙂,yǎn,diễn
縰,縰,xǐ,sỉ
縲,缧,léi,luy
縳,䌸,juàn,truyện
縴,纤,qiàn,khiên
縶,絷,zhí,trập
縸,縸,mù,mắc
縺,縺,lián,len
縠,縠,hú,hộc
縡,縡,zài,tể
縢,縢,téng,đằng
縦,縦,zòng,sỉ
縧,绦,tāo,thao
縩,縩,cài,sái
縭,缡,lí,li
縮,缩,suō,súc
縊,缢,yì,ải
縋,缒,zhuì,trúy
縏,縏,pán,bàn
縑,缣,jiān,kiêm
縗,缞,cuī,thôi
縚,縚,tāo,thao
縝,缜,chēn,chẩn
縞,缟,gǎo,cảo
練,练,liàn,luyện
緶,缏,biàn,biền
緹,缇,tí,đề
緺,緺,guā,cô
緼,缊,yùn,uẩn
縅,縅,wēi,uy
縆,縆,gēng,canh
縉,缙,jìn,tấn
繮,缰,jiāng,cương
繯,缳,huán,hoán
繲,繲,xiè,dải
繶,𫄷,yì,giấy
繸,䍁,suì,choại
繻,𦈡,xū,nhu
繼,继,jì,kế
繽,缤,bīn,tân
繠,繠,ruǐ,nhuỵ
繡,绣,xiù,tú
繢,缋,huì,hội
繣,繣,huà,hoạch
繦,繦,qiǎng,cưỡng
繨,繨,da,đáp
繩,绳,shéng,thằng
繫,系,xì,hệ
繍,繍,xiù,tú
繐,繐,suì,huệ
繒,缯,zēng,tăng
繕,缮,shàn,thiện
繖,繖,sǎn,tản
繘,繘,yù,quất
繙,繙,fān,phiên
繞,绕,rào,nhiễu
縻,縻,mí,mi
總,总,zǒng,tổng
績,绩,jī,tích
縿,縿,shān,sam
繄,繄,yī,ê
繈,繈,qiǎng,cưỡng
繊,繊,xiān,tiêm
繋,繋,jì,hệ
约,约,yuē,ước
纪,纪,jì,kỉ
纬,纬,wěi,vĩ
纮,纮,hóng,hoành
纯,纯,chún,thuần
纱,纱,shā,sa
纴,纴,rèn,nhẫm
纶,纶,lún,lân
纖,纤,xiān,tiêm
纘,缵,zuǎn,toản
纙,纙,luò,là
纛,纛,dào,đạo
纜,缆,lǎn,lãm
纟,纟,sī,mịch
红,红,hóng,hồng
纤,纤,xiān,tiêm
續,续,xù,tục
纎,纎,xiān,tiêm
纏,缠,chán,triền
纑,纑,lú,lư
纒,纒,chán,triền
纓,缨,yīng,anh
纔,才,cái,tài
纕,𬙋,rǎng,tương
繿,䍀,lán,lãm
纀,纀,pú,buộc
纁,𫄸,xūn,huân
纂,纂,zuǎn,toản
纆,𬙊,mò,mặc
纇,颣,lèi,lỗi
纈,缬,xié,hiệt
纊,纩,kuàng,khoáng
绲,绲,gǔn,cổn
绵,绵,mián,miên
绶,绶,shòu,thụ
绾,绾,wǎn,oản
绿,绿,lǜ,lục
缂,缂,kè,khách
缄,缄,jiān,giam
缇,缇,tí,đề
绡,绡,xiāo,tiêu
绢,绢,juàn,quyến
绣,绣,xiù,tú
绦,绦,tāo,thao
继,继,jì,kế
绨,绨,tí,đề
绯,绯,fēi,phi
绱,绱,shàng,thượng
经,经,jīng,kinh
绑,绑,bǎng,bảng
绕,绕,rào,yểu
绗,绗,háng,hàng
绛,绛,jiàng,giáng
络,络,luò,lạc
绞,绞,jiǎo,giảo
统,统,tǒng,thống
纸,纸,zhǐ,chỉ
纻,纻,zhù,trữ
纼,纼,zhèn,chẩn
纽,纽,niǔ,nữu
绁,绁,xiè,tiết
练,练,liàn,luyện
细,细,xì,thế
绎,绎,yì,dịch
缽,钵,bō,bát
缾,缾,píng,bình
罂,罂,yīng,anh
罃,䓨,yīng,oanh
罄,罄,qìng,khánh
罅,罅,xià,há
罆,罆,guàn,quán
罇,罇,zūn,tôn
缪,缪,móu,mâu
缭,缭,liáo,liêu
缮,缮,shàn,thiện
缰,缰,jiāng,cương
缳,缳,huán,hoàn
缴,缴,jiǎo,kiểu
缷,缷,xiè,xá
缺,缺,quē,khuyết
缝,缝,fèng,phùng
缟,缟,gǎo,cảo
缠,缠,chán,triền
缢,缢,yì,ế
缣,缣,jiān,kiêm
缥,缥,piāo,phiếu
缨,缨,yīng,anh
缩,缩,suō,túc
缈,缈,miǎo,miểu
缊,缊,yùn,uẩn
缎,缎,duàn,đoạn
缓,缓,huǎn,hoán
缔,缔,dì,đế
缙,缙,jìn,tuấn
缚,缚,fù,bác
缜,缜,zhěn,chẩn
罭,罭,yù,vực
置,置,zhì,trí
罰,罚,fá,phạt
罱,罱,lǎn,lãm
罳,罳,sī,ty
罵,骂,mà,mạ
罶,罶,liǔ,lữu
罸,罸,fá,phạt
罠,罠,mín,mân
罢,罢,bà,bãi
罥,罥,juàn,quyến
罦,罦,fú,phù
罧,罧,shèn,sâm
罩,罩,zhào,tráo
罪,罪,zuì,tội
罫,罫,guà,quải
罒,罒,wǎng,võng
罕,罕,hǎn,hãn
罗,罗,luó,la
罘,罘,fú,phù
罙,罙,shēn,sâm
罛,罛,gū,cô
罝,罝,jū,ta
罟,罟,gǔ,cổ
罈,坛,tán,đàm
罋,罋,wèng,úng
罌,罂,yīng,anh
罍,罍,léi,lôi
罎,坛,tán,đàm
罏,罏,lú,lư
罐,罐,guàn,quán
网,网,wǎng,võng
羚,羚,líng,linh
羜,羜,zhù,trữ
羞,羞,xiū,tu
羟,羟,qiǎng,cưỡng
羡,羡,xiàn,tiện
羢,羢,róng,nhung
羣,群,qún,quần
群,群,qún,quần
羐,羐,yǒu,dũ
羒,羒,fén,phần
羓,羓,bā,ba
羔,羔,gāo,cao
羕,羕,yàng,dạng
羖,羖,gǔ,cổ
羗,羗,qiāng,khương
羙,羙,gāo,cao
羅,罗,luó,la
